Datetime,Generated power_1427 (kW),Ambient temperature_1428 (degree C),Irradiance_1429 (W/m2),PV module temperature_1430 (C)
2023-01-01 00:00:00,0.0000000000,29.0000000000,0.0000000000,11.0833300000
2023-01-01 00:15:00,0.0000000000,28.0000000000,0.0000000000,10.2250000000
2023-01-01 00:30:00,0.0000000000,28.0000000000,0.0000000000,10.2083300000
2023-01-01 00:45:00,0.0000000000,28.0000000000,0.0000000000,10.9000000000
2023-01-01 01:00:00,0.0000000000,28.0000000000,0.0000000000,11.2250000000
2023-01-01 01:15:00,0.0000000000,28.0000000000,0.0000000000,12.0333300000
2023-01-01 01:30:00,0.0000000000,27.0000000000,0.0000000000,12.2750000000
2023-01-01 01:45:00,0.0000000000,27.0000000000,0.0000000000,12.1166700000
2023-01-01 02:00:00,0.0000000000,27.0000000000,0.0000000000,11.4833300000
2023-01-01 02:15:00,0.0000000000,27.0000000000,0.0000000000,11.3583300000
2023-01-01 02:30:00,0.0000000000,26.0000000000,0.0000000000,10.9333300000
2023-01-01 02:45:00,0.0000000000,26.0000000000,0.0000000000,10.3833300000
2023-01-01 03:00:00,0.0000000000,26.0000000000,0.0000000000,10.5000000000
2023-01-01 03:15:00,0.0000000000,26.0000000000,0.0000000000,10.8250000000
2023-01-01 03:30:00,0.0000000000,26.0000000000,0.0000000000,10.5416700000
2023-01-01 03:45:00,0.0000000000,26.0000000000,0.0000000000,9.1916670000
2023-01-01 04:00:00,0.0000000000,25.0000000000,0.0000000000,8.2833340000
2023-01-01 04:15:00,0.0000000000,25.0000000000,0.0000000000,7.7416670000
2023-01-01 04:30:00,0.0000000000,25.0000000000,0.0000000000,7.6750000000
2023-01-01 04:45:00,0.0000000000,25.0000000000,0.0000000000,8.4916670000
2023-01-01 05:00:00,0.0000000000,25.0000000000,0.0000000000,8.6166670000
2023-01-01 05:15:00,0.0000000000,25.0000000000,0.0000000000,7.9083330000
2023-01-01 05:30:00,0.0000000000,25.0000000000,0.0000000000,7.5416670000
2023-01-01 05:45:00,0.0000000000,25.0000000000,0.0000000000,7.2333330000
2023-01-01 06:00:00,0.0000000000,24.0000000000,0.0000000000,6.9250000000
2023-01-01 06:15:00,0.0000000000,24.0000000000,0.0000000000,6.7583330000
2023-01-01 06:30:00,2.0000000000,24.0000000000,5.5078010000,6.9750000000
2023-01-01 06:45:00,9.2000000000,24.0000000000,26.9381500000,7.5416670000
2023-01-01 07:00:00,16.8000000000,24.0000000000,64.1909100000,8.7333340000
2023-01-01 07:15:00,24.4000000000,24.0000000000,83.8520900000,9.7500000000
2023-01-01 07:30:00,41.6000000000,25.0000000000,138.8633000000,11.2000000000
2023-01-01 07:45:00,57.2000000000,25.0000000000,177.0507000000,13.3083300000
2023-01-01 08:00:00,78.4000000000,26.0000000000,228.0229000000,15.4750000000
2023-01-01 08:15:00,103.6000000000,27.0000000000,282.7004000000,16.3250000000
2023-01-01 08:30:00,147.6000000000,28.0000000000,390.2861000000,17.9250000000
2023-01-01 08:45:00,164.0000000000,29.0000000000,429.2079000000,20.5333300000
2023-01-01 09:00:00,187.6000000000,30.0000000000,497.0706000000,24.2500000000
2023-01-01 09:15:00,207.6000000000,31.0000000000,544.1373000000,26.9166700000
2023-01-01 09:30:00,217.6000000000,32.0000000000,601.5853000000,29.2000000000
2023-01-01 09:45:00,248.4000000000,33.0000000000,673.6207000000,32.3500000000
