Datetime,Generated power_1385 (kW),Ambient temperature_1386 (degree C),Irradiance_1387 (W/m2),PV module temperature_1388 (C)
2023-01-01 00:00:00,0.0000000000,20.6700000000,20.6700000000,
2023-01-01 00:15:00,0.0000000000,20.7566700000,20.7566700000,
2023-01-01 00:30:00,0.0000000000,21.0233300000,21.0233300000,
2023-01-01 00:45:00,0.0000000000,20.8666700000,20.8666700000,
2023-01-01 01:00:00,0.0000000000,20.5866700000,20.5866700000,
2023-01-01 01:15:00,0.0000000000,20.1433300000,20.1433300000,
2023-01-01 01:30:00,0.0000000000,19.7300000000,19.7300000000,
2023-01-01 01:45:00,0.0000000000,19.8033300000,19.8033300000,
2023-01-01 02:00:00,0.0000000000,20.4700000000,20.4700000000,
2023-01-01 02:15:00,0.0000000000,20.7633300000,20.7633300000,
2023-01-01 02:30:00,0.0000000000,20.6166700000,20.6166700000,
2023-01-01 02:45:00,0.0000000000,20.2333300000,20.2333300000,
2023-01-01 03:00:00,0.0000000000,20.0133300000,20.0133300000,
2023-01-01 03:15:00,0.0000000000,19.6433300000,19.6433300000,
2023-01-01 03:30:00,0.0000000000,19.4666700000,19.4666700000,
2023-01-01 03:45:00,0.0000000000,19.1400000000,19.1400000000,
2023-01-01 04:00:00,0.0000000000,19.0466700000,19.0466700000,
2023-01-01 04:15:00,0.0000000000,18.7133300000,18.7133300000,
2023-01-01 04:30:00,0.0000000000,18.5000000000,18.5000000000,
2023-01-01 04:45:00,0.0000000000,18.4566700000,18.4566700000,
2023-01-01 05:00:00,0.0000000000,18.3533300000,18.3533300000,
2023-01-01 05:15:00,0.0000000000,18.1166700000,18.1166700000,
2023-01-01 05:30:00,0.0000000000,18.1000000000,18.1000000000,
2023-01-01 05:45:00,0.0000000000,18.0233300000,18.0233300000,
2023-01-01 06:00:00,0.0000000000,17.9166700000,17.9166700000,
2023-01-01 06:15:00,0.0000000000,17.6600000000,17.6600000000,
2023-01-01 06:30:00,4.0000000000,17.5766700000,17.5766700000,
2023-01-01 06:45:00,8.0000000000,17.7466700000,17.7466700000,
2023-01-01 07:00:00,28.0000000000,18.2833300000,18.2833300000,
2023-01-01 07:15:00,52.0000000000,19.2200000000,19.2200000000,
2023-01-01 07:30:00,84.0000000000,20.2500000000,20.2500000000,
2023-01-01 07:45:00,120.0000000000,21.2200000000,21.2200000000,
2023-01-01 08:00:00,172.0000000000,22.4033300000,22.4033300000,
2023-01-01 08:15:00,228.0000000000,23.6266700000,23.6266700000,
2023-01-01 08:30:00,284.0000000000,25.4733300000,25.4733300000,
2023-01-01 08:45:00,332.0000000000,26.7300000000,26.7300000000,
2023-01-01 09:00:00,380.0000000000,28.1900000000,28.1900000000,
2023-01-01 09:15:00,400.0000000000,28.8000000000,28.8000000000,
2023-01-01 09:30:00,456.0000000000,30.1333300000,30.1333300000,
2023-01-01 09:45:00,500.0000000000,31.7533300000,31.7533300000,
2023-01-01 10:00:00,540.0000000000,33.3133300000,33.3133300000,
2023-01-01 10:15:00,564.0000000000,35.0600000000,35.0600000000,
2023-01-01 10:30:00,576.0000000000,37.5066700000,37.5066700000,
2023-01-01 10:45:00,608.0000000000,39.3400000000,39.3400000000,
2023-01-01 11:00:00,628.0000000000,40.3800000000,40.3800000000,
2023-01-01 11:15:00,648.0000000000,40.8833400000,40.8833400000,
2023-01-01 11:30:00,664.0000000000,41.6533300000,41.6533300000,
2023-01-01 11:45:00,676.0000000000,43.6066700000,43.6066700000,
2023-01-01 12:00:00,688.0000000000,45.1100000000,45.1100000000,
2023-01-01 12:15:00,716.0000000000,45.1566700000,45.1566700000,
2023-01-01 12:30:00,728.0000000000,46.6866700000,46.6866700000,
2023-01-01 12:45:00,740.0000000000,49.5000000000,49.5000000000,
2023-01-01 13:00:00,756.0000000000,47.9100000000,47.9100000000,
2023-01-01 13:15:00,740.0000000000,47.2233300000,47.2233300000,
2023-01-01 13:30:00,716.0000000000,48.4433300000,48.4433300000,
2023-01-01 13:45:00,676.0000000000,47.9700000000,47.9700000000,
2023-01-01 14:00:00,640.0000000000,46.5233300000,46.5233300000,
2023-01-01 14:15:00,592.0000000000,45.7633300000,45.7633300000,
2023-01-01 14:30:00,552.0000000000,43.7833300000,43.7833300000,
2023-01-01 14:45:00,504.0000000000,42.8366700000,42.8366700000,
2023-01-01 15:00:00,460.0000000000,41.7833300000,41.7833300000,
2023-01-01 15:15:00,416.0000000000,39.9366700000,39.9366700000,
2023-01-01 15:30:00,368.0000000000,38.6533300000,38.6533300000,
2023-01-01 15:45:00,316.0000000000,37.0300000000,37.0300000000,
2023-01-01 16:00:00,264.0000000000,34.9366700000,34.9366700000,
2023-01-01 16:15:00,220.0000000000,32.9433300000,32.9433300000,
2023-01-01 16:30:00,168.0000000000,31.1200000000,31.1200000000,
2023-01-01 16:45:00,116.0000000000,29.4133300000,29.4133300000,
2023-01-01 17:00:00,76.0000000000,27.7000000000,27.7000000000,
2023-01-01 17:15:00,40.0000000000,26.0866700000,26.0866700000,
2023-01-01 17:30:00,20.0000000000,24.7566700000,24.7566700000,
2023-01-01 17:45:00,4.0000000000,23.8100000000,23.8100000000,
2023-01-01 18:00:00,0.0000000000,23.1200000000,23.1200000000,
2023-01-01 18:15:00,0.0000000000,23.1033300000,23.1033300000,
2023-01-01 18:30:00,0.0000000000,22.9766700000,22.9766700000,
2023-01-01 18:45:00,0.0000000000,22.6333300000,22.6333300000,
2023-01-01 19:00:00,0.0000000000,22.6633300000,22.6633300000,
2023-01-01 19:15:00,0.0000000000,22.8233300000,22.8233300000,
2023-01-01 19:30:00,0.0000000000,22.7300000000,22.7300000000,
2023-01-01 19:45:00,0.0000000000,22.6933300000,22.6933300000,
2023-01-01 20:00:00,0.0000000000,22.9133300000,22.9133300000,
2023-01-01 20:15:00,0.0000000000,22.9866700000,22.9866700000,
2023-01-01 20:30:00,0.0000000000,22.6500000000,22.6500000000,
2023-01-01 20:45:00,0.0000000000,22.4366700000,22.4366700000,
2023-01-01 21:00:00,0.0000000000,22.2366700000,22.2366700000,
2023-01-01 21:15:00,0.0000000000,21.9266700000,21.9266700000,
2023-01-01 21:30:00,0.0000000000,21.4266700000,21.4266700000,
2023-01-01 21:45:00,0.0000000000,21.2566700000,21.2566700000,
2023-01-01 22:00:00,0.0000000000,21.0666700000,21.0666700000,
2023-01-01 22:15:00,0.0000000000,20.7533300000,20.7533300000,
2023-01-01 22:30:00,0.0000000000,20.4633300000,20.4633300000,
2023-01-01 22:45:00,0.0000000000,20.3800000000,20.3800000000,
2023-01-01 23:00:00,0.0000000000,20.2233300000,20.2233300000,
2023-01-01 23:15:00,0.0000000000,20.1300000000,20.1300000000,
2023-01-01 23:30:00,0.0000000000,20.0266700000,20.0266700000,
2023-01-01 23:45:00,0.0000000000,19.8300000000,19.8300000000,
2023-01-02 00:00:00,0.0000000000,19.7700000000,19.7700000000,
2023-01-02 00:15:00,0.0000000000,19.6800000000,19.6800000000,
2023-01-02 00:30:00,0.0000000000,19.6300000000,19.6300000000,
2023-01-02 00:45:00,0.0000000000,19.7600000000,19.7600000000,
2023-01-02 01:00:00,0.0000000000,19.5166700000,19.5166700000,
2023-01-02 01:15:00,0.0000000000,19.4433300000,19.4433300000,
2023-01-02 01:30:00,0.0000000000,19.6733300000,19.6733300000,
2023-01-02 01:45:00,0.0000000000,19.6533300000,19.6533300000,
2023-01-02 02:00:00,0.0000000000,19.5433300000,19.5433300000,
2023-01-02 02:15:00,0.0000000000,19.3866700000,19.3866700000,
2023-01-02 02:30:00,0.0000000000,19.2766700000,19.2766700000,
2023-01-02 02:45:00,0.0000000000,19.2200000000,19.2200000000,
2023-01-02 03:00:00,0.0000000000,19.4633300000,19.4633300000,
2023-01-02 03:15:00,0.0000000000,19.4166700000,19.4166700000,
2023-01-02 03:30:00,0.0000000000,19.4766700000,19.4766700000,
2023-01-02 03:45:00,0.0000000000,19.5833300000,19.5833300000,
2023-01-02 04:00:00,0.0000000000,19.6066700000,19.6066700000,
2023-01-02 04:15:00,0.0000000000,19.4866700000,19.4866700000,
2023-01-02 04:30:00,0.0000000000,19.6900000000,19.6900000000,
2023-01-02 04:45:00,0.0000000000,20.0966700000,20.0966700000,
2023-01-02 05:00:00,0.0000000000,19.4200000000,19.4200000000,
2023-01-02 05:15:00,0.0000000000,18.8933300000,18.8933300000,
2023-01-02 05:30:00,0.0000000000,18.7400000000,18.7400000000,
2023-01-02 05:45:00,0.0000000000,18.7200000000,18.7200000000,
2023-01-02 06:00:00,0.0000000000,18.5166700000,18.5166700000,
2023-01-02 06:15:00,0.0000000000,18.6600000000,18.6600000000,
2023-01-02 06:30:00,0.0000000000,18.5033300000,18.5033300000,
2023-01-02 06:45:00,8.0000000000,18.7866700000,18.7866700000,
2023-01-02 07:00:00,24.0000000000,19.9333300000,19.9333300000,
2023-01-02 07:15:00,36.0000000000,20.9466700000,20.9466700000,
2023-01-02 07:30:00,60.0000000000,21.6366700000,21.6366700000,
2023-01-02 07:45:00,112.0000000000,23.4866700000,23.4866700000,
2023-01-02 08:00:00,132.0000000000,25.2066700000,25.2066700000,
2023-01-02 08:15:00,196.0000000000,26.4633300000,26.4633300000,
2023-01-02 08:30:00,296.0000000000,29.4066700000,29.4066700000,
2023-01-02 08:45:00,348.0000000000,32.7566700000,32.7566700000,
2023-01-02 09:00:00,400.0000000000,34.5466700000,34.5466700000,
2023-01-02 09:15:00,360.0000000000,35.1633300000,35.1633300000,
2023-01-02 09:30:00,400.0000000000,36.6866700000,36.6866700000,
2023-01-02 09:45:00,400.0000000000,36.0933300000,36.0933300000,
2023-01-02 10:00:00,560.0000000000,38.5000000000,38.5000000000,
2023-01-02 10:15:00,560.0000000000,43.6066700000,43.6066700000,
2023-01-02 10:30:00,560.0000000000,44.8233300000,44.8233300000,
2023-01-02 10:45:00,440.0000000000,44.4866700000,44.4866700000,
2023-01-02 11:00:00,520.0000000000,39.7500000000,39.7500000000,
2023-01-02 11:15:00,560.0000000000,44.8133300000,44.8133300000,
2023-01-02 11:30:00,400.0000000000,40.8000000000,40.8000000000,
2023-01-02 11:45:00,520.0000000000,38.1500000000,38.1500000000,
2023-01-02 12:00:00,680.0000000000,44.6766700000,44.6766700000,
2023-01-02 12:15:00,520.0000000000,41.9100000000,41.9100000000,
2023-01-02 12:30:00,600.0000000000,42.7633300000,42.7633300000,
2023-01-02 12:45:00,480.0000000000,41.3000000000,41.3000000000,
2023-01-02 13:00:00,440.0000000000,41.6133300000,41.6133300000,
2023-01-02 13:15:00,480.0000000000,42.0066700000,42.0066700000,
2023-01-02 13:30:00,360.0000000000,41.0066700000,41.0066700000,
2023-01-02 13:45:00,400.0000000000,39.6900000000,39.6900000000,
2023-01-02 14:00:00,440.0000000000,40.3733300000,40.3733300000,
2023-01-02 14:15:00,400.0000000000,40.1400000000,40.1400000000,
2023-01-02 14:30:00,320.0000000000,38.8633300000,38.8633300000,
2023-01-02 14:45:00,320.0000000000,36.3700000000,36.3700000000,
2023-01-02 15:00:00,240.0000000000,35.6166600000,35.6166600000,
2023-01-02 15:15:00,240.0000000000,35.4200000000,35.4200000000,
2023-01-02 15:30:00,160.0000000000,34.1066700000,34.1066700000,
2023-01-02 15:45:00,160.0000000000,32.7000000000,32.7000000000,
2023-01-02 16:00:00,120.0000000000,31.5733300000,31.5733300000,
2023-01-02 16:15:00,120.0000000000,30.7100000000,30.7100000000,
2023-01-02 16:30:00,120.0000000000,30.4866700000,30.4866700000,
2023-01-02 16:45:00,80.0000000000,29.8633300000,29.8633300000,
2023-01-02 17:00:00,40.0000000000,28.8033300000,28.8033300000,
2023-01-02 17:15:00,40.0000000000,27.5333300000,27.5333300000,
2023-01-02 17:30:00,40.0000000000,26.3900000000,26.3900000000,
2023-01-02 17:45:00,0.0000000000,25.7766700000,25.7766700000,
2023-01-02 18:00:00,0.0000000000,25.1933300000,25.1933300000,
2023-01-02 18:15:00,0.0000000000,24.6366700000,24.6366700000,
2023-01-02 18:30:00,0.0000000000,24.2600000000,24.2600000000,
2023-01-02 18:45:00,0.0000000000,24.2033300000,24.2033300000,
2023-01-02 19:00:00,0.0000000000,24.3733300000,24.3733300000,
2023-01-02 19:15:00,0.0000000000,24.5200000000,24.5200000000,
2023-01-02 19:30:00,0.0000000000,24.5266700000,24.5266700000,
2023-01-02 19:45:00,0.0000000000,24.4166700000,24.4166700000,
2023-01-02 20:00:00,0.0000000000,24.3000000000,24.3000000000,
2023-01-02 20:15:00,0.0000000000,24.1200000000,24.1200000000,
2023-01-02 20:30:00,0.0000000000,24.0433300000,24.0433300000,
2023-01-02 20:45:00,0.0000000000,24.0033300000,24.0033300000,
2023-01-02 21:00:00,0.0000000000,24.0433300000,24.0433300000,
2023-01-02 21:15:00,0.0000000000,24.0166700000,24.0166700000,
2023-01-02 21:30:00,0.0000000000,24.0700000000,24.0700000000,
2023-01-02 21:45:00,0.0000000000,24.0866700000,24.0866700000,
2023-01-02 22:00:00,0.0000000000,24.1300000000,24.1300000000,
2023-01-02 22:15:00,0.0000000000,24.2266700000,24.2266700000,
2023-01-02 22:30:00,0.0000000000,24.1933300000,24.1933300000,
2023-01-02 22:45:00,0.0000000000,24.2566700000,24.2566700000,
2023-01-02 23:00:00,0.0000000000,24.2133300000,24.2133300000,
2023-01-02 23:15:00,0.0000000000,24.0800000000,24.0800000000,
2023-01-02 23:30:00,0.0000000000,24.1300000000,24.1300000000,
2023-01-02 23:45:00,0.0000000000,24.1666700000,24.1666700000,
2023-01-03 00:00:00,0.0000000000,24.2266700000,24.2266700000,
2023-01-03 00:15:00,0.0000000000,24.1700000000,24.1700000000,
2023-01-03 00:30:00,0.0000000000,24.1833300000,24.1833300000,
2023-01-03 00:45:00,0.0000000000,24.2366700000,24.2366700000,
2023-01-03 01:00:00,0.0000000000,24.2566700000,24.2566700000,
2023-01-03 01:15:00,0.0000000000,24.1933300000,24.1933300000,
2023-01-03 01:30:00,0.0000000000,24.2000000000,24.2000000000,
2023-01-03 01:45:00,0.0000000000,24.1500000000,24.1500000000,
2023-01-03 02:00:00,0.0000000000,24.0366700000,24.0366700000,
2023-01-03 02:15:00,0.0000000000,24.0366700000,24.0366700000,
2023-01-03 02:30:00,0.0000000000,24.0233300000,24.0233300000,
2023-01-03 02:45:00,0.0000000000,23.9200000000,23.9200000000,
2023-01-03 03:00:00,0.0000000000,23.7566700000,23.7566700000,
2023-01-03 03:15:00,0.0000000000,23.6166700000,23.6166700000,
2023-01-03 03:30:00,0.0000000000,23.5900000000,23.5900000000,
2023-01-03 03:45:00,0.0000000000,23.4766700000,23.4766700000,
2023-01-03 04:00:00,0.0000000000,23.2900000000,23.2900000000,
2023-01-03 04:15:00,0.0000000000,23.0100000000,23.0100000000,
2023-01-03 04:30:00,0.0000000000,22.8033300000,22.8033300000,
2023-01-03 04:45:00,0.0000000000,21.9966700000,21.9966700000,
2023-01-03 05:00:00,0.0000000000,21.4433300000,21.4433300000,
2023-01-03 05:15:00,0.0000000000,21.2433300000,21.2433300000,
2023-01-03 05:30:00,0.0000000000,21.2800000000,21.2800000000,
2023-01-03 05:45:00,0.0000000000,21.8733300000,21.8733300000,
2023-01-03 06:00:00,0.0000000000,21.9066700000,21.9066700000,
2023-01-03 06:15:00,0.0000000000,21.6166700000,21.6166700000,
2023-01-03 06:30:00,0.0000000000,21.4700000000,21.4700000000,
2023-01-03 06:45:00,8.0000000000,21.5433300000,21.5433300000,
2023-01-03 07:00:00,24.0000000000,22.2966700000,22.2966700000,
2023-01-03 07:15:00,52.0000000000,23.2700000000,23.2700000000,
2023-01-03 07:30:00,88.0000000000,24.6033300000,24.6033300000,
2023-01-03 07:45:00,132.0000000000,26.0600000000,26.0600000000,
2023-01-03 08:00:00,196.0000000000,27.6233300000,27.6233300000,
2023-01-03 08:15:00,264.0000000000,29.5133300000,29.5133300000,
2023-01-03 08:30:00,300.0000000000,31.5366700000,31.5366700000,
2023-01-03 08:45:00,452.0000000000,33.1100000000,33.1100000000,
2023-01-03 09:00:00,520.0000000000,36.2033300000,36.2033300000,
2023-01-03 09:15:00,280.0000000000,35.4200000000,35.4200000000,
2023-01-03 09:30:00,280.0000000000,31.6366700000,31.6366700000,
2023-01-03 09:45:00,320.0000000000,32.6833300000,32.6833300000,
2023-01-03 10:00:00,240.0000000000,34.2266700000,34.2266700000,
2023-01-03 10:15:00,280.0000000000,32.6500000000,32.6500000000,
2023-01-03 10:30:00,360.0000000000,33.1466700000,33.1466700000,
2023-01-03 10:45:00,400.0000000000,36.4966700000,36.4966700000,
2023-01-03 11:00:00,520.0000000000,37.5500000000,37.5500000000,
2023-01-03 11:15:00,560.0000000000,42.8900000000,42.8900000000,
2023-01-03 11:30:00,560.0000000000,42.5266700000,42.5266700000,
2023-01-03 11:45:00,600.0000000000,45.8000000000,45.8000000000,
2023-01-03 12:00:00,480.0000000000,45.3100000000,45.3100000000,
2023-01-03 12:15:00,400.0000000000,40.8133300000,40.8133300000,
2023-01-03 12:30:00,440.0000000000,40.8733300000,40.8733300000,
2023-01-03 12:45:00,480.0000000000,42.0800000000,42.0800000000,
2023-01-03 13:00:00,400.0000000000,43.1066700000,43.1066700000,
2023-01-03 13:15:00,440.0000000000,41.8600000000,41.8600000000,
2023-01-03 13:30:00,360.0000000000,40.3700000000,40.3700000000,
2023-01-03 13:45:00,480.0000000000,40.5266700000,40.5266700000,
2023-01-03 14:00:00,400.0000000000,44.0300000000,44.0300000000,
2023-01-03 14:15:00,320.0000000000,43.2566700000,43.2566700000,
2023-01-03 14:30:00,320.0000000000,41.7466700000,41.7466700000,
2023-01-03 14:45:00,200.0000000000,39.3400000000,39.3400000000,
2023-01-03 15:00:00,280.0000000000,37.9933300000,37.9933300000,
2023-01-03 15:15:00,200.0000000000,37.6533300000,37.6533300000,
2023-01-03 15:30:00,200.0000000000,36.3400000000,36.3400000000,
2023-01-03 15:45:00,240.0000000000,35.8566700000,35.8566700000,
2023-01-03 16:00:00,160.0000000000,35.6766700000,35.6766700000,
2023-01-03 16:15:00,120.0000000000,34.2933300000,34.2933300000,
2023-01-03 16:30:00,80.0000000000,32.9900000000,32.9900000000,
2023-01-03 16:45:00,80.0000000000,31.6133300000,31.6133300000,
2023-01-03 17:00:00,40.0000000000,30.5866700000,30.5866700000,
2023-01-03 17:15:00,40.0000000000,29.5533300000,29.5533300000,
2023-01-03 17:30:00,0.0000000000,28.6800000000,28.6800000000,
2023-01-03 17:45:00,0.0000000000,27.9733300000,27.9733300000,
2023-01-03 18:00:00,0.0000000000,27.4533300000,27.4533300000,
2023-01-03 18:15:00,0.0000000000,27.1800000000,27.1800000000,
2023-01-03 18:30:00,0.0000000000,27.0300000000,27.0300000000,
2023-01-03 18:45:00,0.0000000000,26.9933300000,26.9933300000,
2023-01-03 19:00:00,0.0000000000,27.0900000000,27.0900000000,
2023-01-03 19:15:00,0.0000000000,27.0433300000,27.0433300000,
2023-01-03 19:30:00,0.0000000000,26.9300000000,26.9300000000,
2023-01-03 19:45:00,0.0000000000,26.8266700000,26.8266700000,
2023-01-03 20:00:00,0.0000000000,26.5500000000,26.5500000000,
2023-01-03 20:15:00,0.0000000000,26.0800000000,26.0800000000,
2023-01-03 20:30:00,0.0000000000,25.4066700000,25.4066700000,
2023-01-03 20:45:00,0.0000000000,25.3300000000,25.3300000000,
2023-01-03 21:00:00,0.0000000000,25.6266700000,25.6266700000,
2023-01-03 21:15:00,0.0000000000,25.7400000000,25.7400000000,
2023-01-03 21:30:00,0.0000000000,25.5300000000,25.5300000000,
2023-01-03 21:45:00,0.0000000000,25.2700000000,25.2700000000,
2023-01-03 22:00:00,0.0000000000,25.0333300000,25.0333300000,
2023-01-03 22:15:00,0.0000000000,25.0266700000,25.0266700000,
2023-01-03 22:30:00,0.0000000000,25.1400000000,25.1400000000,
2023-01-03 22:45:00,0.0000000000,25.1866700000,25.1866700000,
2023-01-03 23:00:00,0.0000000000,25.4200000000,25.4200000000,
2023-01-03 23:15:00,0.0000000000,25.5166700000,25.5166700000,
2023-01-03 23:30:00,0.0000000000,25.4733300000,25.4733300000,
2023-01-03 23:45:00,0.0000000000,25.4633300000,25.4633300000,
2023-01-04 00:00:00,0.0000000000,25.5366700000,25.5366700000,
2023-01-04 00:15:00,0.0000000000,25.6000000000,25.6000000000,
2023-01-04 00:30:00,0.0000000000,25.6000000000,25.6000000000,
2023-01-04 00:45:00,0.0000000000,25.6000000000,25.6000000000,
2023-01-04 01:00:00,0.0000000000,25.6066700000,25.6066700000,
2023-01-04 01:15:00,0.0000000000,25.5733300000,25.5733300000,
2023-01-04 01:30:00,0.0000000000,25.5466700000,25.5466700000,
2023-01-04 01:45:00,0.0000000000,25.5433300000,25.5433300000,
2023-01-04 02:00:00,0.0000000000,25.4900000000,25.4900000000,
2023-01-04 02:15:00,0.0000000000,25.4200000000,25.4200000000,
2023-01-04 02:30:00,0.0000000000,25.3700000000,25.3700000000,
2023-01-04 02:45:00,0.0000000000,25.3066700000,25.3066700000,
2023-01-04 03:00:00,0.0000000000,25.1266700000,25.1266700000,
2023-01-04 03:15:00,0.0000000000,24.7266700000,24.7266700000,
2023-01-04 03:30:00,0.0000000000,24.2266700000,24.2266700000,
2023-01-04 03:45:00,0.0000000000,24.0900000000,24.0900000000,
2023-01-04 04:00:00,0.0000000000,23.9933300000,23.9933300000,
2023-01-04 04:15:00,0.0000000000,23.9400000000,23.9400000000,
2023-01-04 04:30:00,0.0000000000,23.7100000000,23.7100000000,
2023-01-04 04:45:00,0.0000000000,23.3466700000,23.3466700000,
2023-01-04 05:00:00,0.0000000000,23.3633300000,23.3633300000,
2023-01-04 05:15:00,0.0000000000,23.3400000000,23.3400000000,
2023-01-04 05:30:00,0.0000000000,23.2000000000,23.2000000000,
2023-01-04 05:45:00,0.0000000000,23.2766700000,23.2766700000,
2023-01-04 06:00:00,0.0000000000,23.3566700000,23.3566700000,
2023-01-04 06:15:00,0.0000000000,23.2600000000,23.2600000000,
2023-01-04 06:30:00,0.0000000000,23.0600000000,23.0600000000,
2023-01-04 06:45:00,8.0000000000,23.0600000000,23.0600000000,
2023-01-04 07:00:00,20.0000000000,23.3733300000,23.3733300000,
2023-01-04 07:15:00,36.0000000000,23.8800000000,23.8800000000,
